"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"artysta";0;0;0;0;0;0;0;0;0;0;0;0,00191578225650772;0;0,00186051930680077;0,000249938438631578;0;0;0;0,000775268145204461;0
"arystokratyczny";0;0;0;0;0;0;0;0;0;0;0;0,000752740812476954;0;0;0,00029461416514168;0;0;0;0;0,00339013079376491
"aspekt";0;0;0;0;0;0;0;0;0;0,00106780565936999;0;0;0;0,000534188034188034;0,00129171151776103;0;0;0,000670016750418761;0,000667779632721202;0
"asteroida";0;0;0;0;0;0;0,00155952455508046;0;0;0;0;0;0;0;0;0,00415163533434388;0;0;0,00182768987924288;0
"astrolokatorka";0;0;0,00096135075313179;0;0,00204786052687333;0,00391181361719801;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astronomiczny";0;0,00105756012139343;0;0;0;0;0;0;0;0;0;0;0;0;0,00029461416514168;0;0;0;0,000913844939621438;0
"atak";0;0;0;0,00139150325777617;0,000494548482935788;0,001889368406223;0,000753235381702201;0;0;0;0,000501870954778801;0;0;0;0,000426887436454477;0,00100259999612238;0;0;0,000882756657687721;0
"atakować";0;0;0;0;0,00102393026343667;0,00130393787239934;0;0;0;0;0;0;0;0;0;0;0;0,00275071919011679;0;0
"ateński";0;0;0;0;0;0;0;0;0;0;0;0;0;0,000731027135193965;0;0;0,000667552583942977;0;0;0,00339013079376491
"atmosfera";0;0;0;0,000463834419258724;0;0;0,000753235381702201;0;0,000661515310202183;0;0;0,0003635665827523;0;0;0,000711479060757461;0,00200519999224477;0;0,000442856983211847;0,000441378328843861;0
"atom";0;0;0;0;0;0;0;0;0,00077462154958711;0;0;0;0;0,000620173102266924;0,00124969219315789;0;0,000566323925582283;0;0;0
"automat";0;0;0;0;0;0;0;0;0;0;0,00103909096209803;0;0;0;0,00029461416514168;0;0;0;0,00365537975848575;0
"automatyczny";0;0;0,000815570107090749;0,00081471161224118;0;0;0;0;0;0;0;0;0;0;0,000249938438631578;0,00088051880731413;0;0;0;0
"autor";0;0;0;0;0;0;0,00098972398527989;0;0,000579471424242271;0,00185474169158164;0;0;0;0,000463933118099948;0,000560914615984781;0;0;0;0;0,022232012146636
"awaria";0;0;0,00096135075313179;0;0;0;0,00311904911016092;0;0;0;0;0;0;0;0;0,00207581766717194;0;0;0;0
"awaryjny";0;0;0,000702493853178785;0;0;0,00190566936636494;0,00113960113960114;0;0;0;0;0;0;0;0;0,00151687523701176;0;0,0033500837520938;0;0
"ażeby";0,00131927732664055;0,0107662817382722;0;0;0;0;0;0;0;0;0,00969673843726689;0;0;0;0;0;0;0;0;0,000958682120102131
"azot";0;0;0,00096135075313179;0;0;0;0;0;0;0;0;0;0;0;0,00117845666056672;0;0;0;0,000913844939621438;0
"baba";0;0;0;0;0;0;0;0;0;0,00146127367547582;0,00103909096209803;0;0;0;0;0,00103790883358597;0;0;0;0
"babilonu";0;0,00105756012139343;0;0;0;0;0;0;0;0;0;0;0;0,0021930814055819;0;0;0;0;0;0,00113004359792164
"bać";0;0,000585229201247975;0,000531989172051197;0;0;0,000721568924644954;0,000863004656883053;0;0;0;0;0;0;0;0,000163032634319673;0;0,000369408090934087;0;0,000505700558540821;0
"baczyć";0,00155509408759444;0,00105756012139343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000667552583942977;0;0;0
"badać";0;0;0,000464323180501357;0,000463834419258724;0;0;0;0,000506098045515836;0,000220505103400728;0,00141156230100092;0;0;0;0;0,00128066230936343;0;0,00096726445967368;0;0;0,000545800204330042
"badanie";0;0;0;0,000531429183449038;0;0;0;0;0,00101055757986973;0,00161726980547758;0;0;0;0;0,00407581585799181;0;0,00147763236373635;0,00101478939553083;0;0,00250135949269985
"badawczy";0;0;0;0;0;0;0,00396910785450831;0;0;0,00123968398018546;0;0;0;0;0,00149963063178947;0;0;0;0,00155053629040892;0
