"";"Chlopi_czesc_pierwsza_Jesien";"Faraon_tom_I";"Glebia__Tom_1_-_Skokowiec";"Glebia__Tom_2__Powrot";"Glebia__Tom_3__Napor";"Glebia__Tom_4__Bezkres";"Goraczka_Ciboli";"Iliada";"Jak_to_wyjasnic_W_poszukiwaniu_odpowiedzi_na_pytania_ktore_pozornie_nie_maja_odpowiedzi.";"Kwantechizm_2.0_czyli_klatka_na_ludzi";"Lalka_tom_I";"Nad_Niemnem_tom_I";"Odyseja";"Pi_razy_drzwi_czyli_dziwne_przypadki_matematyki";"Po_co_czlowiekowi_czas";"Przebudzenie_Lewiatana";"Rozmyslania";"Wojna_Kalibana";"Wrota_Abaddona";"Wyprawa_Cyrusa"
"antropolog";0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"antygrawitonów";0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"antygrawitony";0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aparat";0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
"aparatura";0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"apartament";0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"arabski";0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"argos";0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1
"argów";0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
"argument";0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"arkusz";0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
"armada";0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"armia";0;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
"aromatyczny";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
"artefakt";0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0
"artez";0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"artykuł";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0
"artysta";0;0;0;0;0;0;0;0;0;0;0;3;0;3;1;0;0;0;1;0
"arystokratyczny";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3
"ascetyczny";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aspekt";0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;0;0;1;1;0
"asteroida";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;2;0
"astrolog";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"astrolokatora";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astrolokatorka";0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astrolokatorkę";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"astronauta";0;0;0;0;0;0;0;0;8;0;0;0;0;0;3;0;0;0;0;0
"astronomia";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"astronomiczny";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"asyryjski";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"atak";0;0;0;3;1;3;1;0;0;0;1;0;0;0;3;2;0;0;2;0
"atakować";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0
"aten";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7
"ateńczyk";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6
"ateński";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3
"ateny";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
"atmosfera";0;0;0;1;0;0;1;0;3;0;0;1;0;0;5;4;0;1;1;0
"atoli";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3
"atom";0;0;0;0;0;0;0;0;2;0;0;0;0;1;5;0;1;0;0;0
"atrament";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"atryd";0;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0
"august";0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0
"aura";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0
"autentyczny";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"automat";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;4;0
"automatyczny";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"automatyka";0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"autor";0;0;0;0;0;0;1;0;2;2;0;0;0;1;3;0;0;0;0;31
"awans";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"awantura";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"awaria";0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
"awaryjny";0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;2;0;5;0;0
"ażeby";1;12;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;1
"ażebym";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"azjatycki";0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"azji";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11
"azot";0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0
"baba";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0
"bąbel";0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"babilonu";0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1
"baby";2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"bać";0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0
"baczność";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
"baczyć";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"badać";0;0;1;1;0;0;0;1;1;2;0;0;0;0;9;0;3;0;0;1
"badacz";0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;0;0;0;0;0
"badane";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"badanie";0;0;0;1;0;0;0;0;4;2;0;0;0;0;25;0;4;2;0;4
"badawczy";0;0;0;0;0;0;3;0;0;1;0;0;0;0;6;0;0;0;2;0
"bądź";0;3;5;1;2;0;0;2;0;1;4;0;4;0;0;0;7;0;0;0
"bakteria";0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0
"balistyczny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
